Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
254,1,2.10018255498235,0,16.8030115995661,0,0,0,0,0,21.7092210874753,0,0,104.488985200538,1.06845057862093e-05,0,0,0,0,41.9858693094397
255,1,2.09133330882029,0,16.7516904965443,0,0,0,0,0,21.6413432206549,0,0,104.204099550089,9.61605520758833e-06,0,0,0,0,41.8651827828403
256,1,2.0826643611107,0,16.701117445374,0,0,0,0,0,21.5745433868203,0,0,103.923193323535,8.6544496868295e-06,0,0,0,0,41.7464317375071
257,1,2.07417078613235,0,16.651280564658,0,0,0,0,0,21.5088010567131,0,0,103.646207614219,7.78900471814655e-06,0,0,0,0,41.6295776328616
258,1,2.06584781432017,0,16.6021681457323,0,0,0,0,0,21.4440962823788,0,0,103.373083905746,7.01010424633189e-06,0,0,0,0,41.5145826306318
259,1,2.05769082720049,0,16.5537686490606,0,0,0,0,0,21.3804096622781,0,0,103.103764154778,6.3090938216987e-06,0,0,0,0,41.401409621653
260,1,2.0496953525172,0,16.5060707008896,0,0,0,0,0,21.3177223082116,0,0,102.838190864069,5.67818443952883e-06,0,0,0,0,41.2900222478624
261,1,2.04185705955032,0,16.4590630902865,0,0,0,0,0,21.2560158142909,0,0,102.57630714684,5.11036599557595e-06,0,0,0,0,41.1803849199204
262,1,2.03417175462544,0,16.4127347666483,0,0,0,0,0,21.1952722281241,0,0,102.318056783524,4.59932939601836e-06,0,0,0,0,41.0724628308718
263,1,2.02663537681013,0,16.3670748377372,0,0,0,0,0,21.1354740243291,0,0,102.063384271756,4.13939645641652e-06,0,0,0,0,40.9662219662342
264,1,2.01924399379095,0,16.3220725682693,0,0,0,0,0,21.0766040804255,0,0,101.812234870382,3.72545681077487e-06,0,0,0,0,40.8616291108599
265,1,2.01199379792139,0,16.2777173790451,0,0,0,0,0,21.0186456550989,0,0,101.564554638067,3.35291112969738e-06,0,0,0,0,40.7586518528601
266,1,2.00488110242796,0,16.2339988465734,0,0,0,0,0,20.961582368765,0,0,101.320290466861,3.01762001672764e-06,0,0,0,0,40.6572585848054
267,1,1.99790233775777,0,16.1909067030997,0,0,0,0,0,20.905398186294,0,0,101.079390110873,2.71585801505488e-06,0,0,0,0,40.5574185023283
268,1,1.99105404804792,0,16.1484308369176,0,0,0,0,0,20.850077401705,0,0,100.841802209956,2.44427221354939e-06,0,0,0,0,40.459101600175
269,1,1.98433288769561,0,16.1065612928171,0,0,0,0,0,20.7956046245932,0,0,100.607476308195,2.19984499219445e-06,0,0,0,0,40.3622786656958
270,1,1.97773561800842,0,16.0652882725263,0,0,0,0,0,20.7419647680484,0,0,100.376362866928,1.97986049297501e-06,0,0,0,0,40.2669212697567
271,1,1.97125910391737,0,16.0246021350157,0,0,0,0,0,20.6891430378326,0,0,100.148413272154,1.78187444367751e-06,0,0,0,0,40.1730017550887
272,1,1.96490031073952,0,15.9844933965668,0,0,0,0,0,20.6371249226135,0,0,99.9235798362861,1.60368699930976e-06,0,0,0,0,40.0804932221466
273,1,1.95865630098128,0,15.9449527305345,0,0,0,0,0,20.5858961850883,0,0,99.7018157944178,1.44331829937878e-06,0,0,0,0,39.9893695126183
274,1,1.95252423117785,0,15.9059709667668,0,0,0,0,0,20.5354428538659,0,0,99.4830752953983,1.2989864694409e-06,0,0,0,0,39.8996051907821
275,1,1.94650134876821,0,15.8675390906713,0,0,0,0,0,20.4857512160068,0,0,99.2673133881684,1.16908782249681e-06,0,0,0,0,39.8111755229653
276,1,1.94058498900753,0,15.8296482419381,0,0,0,0,0,20.4368078101474,0,0,99.0544860038976,1.05217904024713e-06,0,0,0,0,39.72405645539
277,1,1.93477257192133,0,15.7922897129475,0,0,0,0,0,20.3885994201526,0,0,98.8445499345297,9.46961136222418e-07,0,0,0,0,39.6382245907127
278,1,1.92906159930701,0,15.7554549468988,0,0,0,0,0,20.3411130692574,0,0,98.637462808379,8.52265022600176e-07,0,0,0,0,39.5536571635759
279,1,1.92344965178928,0,15.7191355357064,0,0,0,0,0,20.2943360146661,0,0,98.4331830634315,7.67038520340158e-07,0,0,0,0,39.4703320154882
280,1,1.91793438593663,0,15.6833232177125,0,0,0,0,0,20.2482557425888,0,0,98.2316699190023,6.90334668306143e-07,0,0,0,0,39.3882275693449
281,1,1.91251353144608,0,15.6480098752692,0,0,0,0,0,20.202859963699,0,0,98.0328833463816,6.21301201475528e-07,0,0,0,0,39.3073228038862
282,1,1.90718488840318,0,15.6131875322426,0,0,0,0,0,20.1581366089983,0,0,97.83678403907,5.59171081327976e-07,0,0,0,0,39.227597228376
283,1,1.90194632462391,0,15.5788483514873,0,0,0,0,0,20.1140738260773,0,0,97.6433333831576,5.03253973195178e-07,0,0,0,0,39.149030857756
284,1,1.89679577308389,0,15.5449846323366,0,0,0,0,0,20.0706599757569,0,0,97.4524934283361,4.5292857587566e-07,0,0,0,0,39.0716041885045
